申请号,申请年份,公开公告年份,授权公告年份,申请人,申请人类型,申请人地址,申请人国家,申请人省份,申请人城市,申请人区县,专利名称,专利类型,IPC分类号,IPC主分类号,摘要文本
CN201900000226,2019,2019,2019,Shanghai智造科技有限公司,2,ShanghaiShanghai高新区,CN,Shanghai,Shanghai,,2019年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201900000227,2019,2019,2019,Shenzhen智造科技有限公司,2,GuangdongShenzhen高新区,CN,Guangdong,Shenzhen,,2019年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201900000228,2019,2019,2019,Hangzhou智造科技有限公司,2,ZhejiangHangzhou高新区,CN,Zhejiang,Hangzhou,,2019年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201900000229,2019,2019,2019,Suzhou智造科技有限公司,2,JiangsuSuzhou高新区,CN,Jiangsu,Suzhou,,2019年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201900000230,2019,2019,2019,Nanjing智造科技有限公司,2,JiangsuNanjing高新区,CN,Jiangsu,Nanjing,,2019年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201900000231,2019,2019,2019,Wuhan智造科技有限公司,2,HubeiWuhan高新区,CN,Hubei,Wuhan,,2019年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201900000232,2019,2019,2019,Chengdu智造科技有限公司,2,SichuanChengdu高新区,CN,Sichuan,Chengdu,,2019年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201900000233,2019,2019,2019,Chongqing智造科技有限公司,2,ChongqingChongqing高新区,CN,Chongqing,Chongqing,,2019年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201900000234,2019,2019,2019,Xi'an智造科技有限公司,2,ShaanxiXi'an高新区,CN,Shaanxi,Xi'an,,2019年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201900000235,2019,2019,2019,Hefei智造科技有限公司,2,AnhuiHefei高新区,CN,Anhui,Hefei,,2019年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201900000236,2019,2019,2019,Jinan智造科技有限公司,2,ShandongJinan高新区,CN,Shandong,Jinan,,2019年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201900000237,2019,2019,2019,Qingdao智造科技有限公司,2,ShandongQingdao高新区,CN,Shandong,Qingdao,,2019年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201900000238,2019,2019,2019,Ningbo智造科技有限公司,2,ZhejiangNingbo高新区,CN,Zhejiang,Ningbo,,2019年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201900000239,2019,2019,2019,Wuxi智造科技有限公司,2,JiangsuWuxi高新区,CN,Jiangsu,Wuxi,,2019年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201900000240,2019,2019,2019,Changsha智造科技有限公司,2,HunanChangsha高新区,CN,Hunan,Changsha,,2019年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201900000241,2019,2019,2019,Zhengzhou智造科技有限公司,2,HenanZhengzhou高新区,CN,Henan,Zhengzhou,,2019年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201900000242,2019,2019,2019,Fuzhou智造科技有限公司,2,FujianFuzhou高新区,CN,Fujian,Fuzhou,,2019年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201900000243,2019,2019,2019,Xiamen智造科技有限公司,2,FujianXiamen高新区,CN,Fujian,Xiamen,,2019年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201900000244,2019,2019,2019,Kunming智造科技有限公司,2,YunnanKunming高新区,CN,Yunnan,Kunming,,2019年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201900000245,2019,2019,2019,Guiyang智造科技有限公司,2,GuizhouGuiyang高新区,CN,Guizhou,Guiyang,,2019年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201900000246,2019,2019,2019,Nanchang智造科技有限公司,2,JiangxiNanchang高新区,CN,Jiangxi,Nanchang,,2019年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201900000247,2019,2019,2019,Shijiazhuang智造科技有限公司,2,HebeiShijiazhuang高新区,CN,Hebei,Shijiazhuang,,2019年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201900000248,2019,2019,2019,Taiyuan智造科技有限公司,2,ShanxiTaiyuan高新区,CN,Shanxi,Taiyuan,,2019年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201900000249,2019,2019,2019,Hohhot智造科技有限公司,2,Inner MongoliaHohhot高新区,CN,Inner Mongolia,Hohhot,,2019年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201900000250,2019,2019,2019,Harbin智造科技有限公司,2,HeilongjiangHarbin高新区,CN,Heilongjiang,Harbin,,2019年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201900000251,2019,2019,2019,Changchun智造科技有限公司,2,JilinChangchun高新区,CN,Jilin,Changchun,,2019年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201900000252,2019,2019,2019,Dalian智造科技有限公司,2,LiaoningDalian高新区,CN,Liaoning,Dalian,,2019年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201900000253,2019,2019,2019,Shenyang智造科技有限公司,2,LiaoningShenyang高新区,CN,Liaoning,Shenyang,,2019年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201900000254,2019,2019,2019,Tianjin智造科技有限公司,2,TianjinTianjin高新区,CN,Tianjin,Tianjin,,2019年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201900000255,2019,2019,2019,Guangzhou智造科技有限公司,2,GuangdongGuangzhou高新区,CN,Guangdong,Guangzhou,,2019年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201900000256,2019,2019,2019,Dongguan智造科技有限公司,2,GuangdongDongguan高新区,CN,Guangdong,Dongguan,,2019年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201900000257,2019,2019,2019,Foshan智造科技有限公司,2,GuangdongFoshan高新区,CN,Guangdong,Foshan,,2019年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201900000258,2019,2019,2019,Zhuhai智造科技有限公司,2,GuangdongZhuhai高新区,CN,Guangdong,Zhuhai,,2019年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201900000259,2019,2019,2019,Wenzhou智造科技有限公司,2,ZhejiangWenzhou高新区,CN,Zhejiang,Wenzhou,,2019年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201900000260,2019,2019,2019,Jiaxing智造科技有限公司,2,ZhejiangJiaxing高新区,CN,Zhejiang,Jiaxing,,2019年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201900000261,2019,2019,2019,Shaoxing智造科技有限公司,2,ZhejiangShaoxing高新区,CN,Zhejiang,Shaoxing,,2019年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201900000262,2019,2019,2019,Yantai智造科技有限公司,2,ShandongYantai高新区,CN,Shandong,Yantai,,2019年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201900000263,2019,2019,2019,Weifang智造科技有限公司,2,ShandongWeifang高新区,CN,Shandong,Weifang,,2019年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201900000264,2019,2019,2019,Zibo智造科技有限公司,2,ShandongZibo高新区,CN,Shandong,Zibo,,2019年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201900000265,2019,2019,2019,Luoyang智造科技有限公司,2,HenanLuoyang高新区,CN,Henan,Luoyang,,2019年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201900000266,2019,2019,2019,Xuzhou智造科技有限公司,2,JiangsuXuzhou高新区,CN,Jiangsu,Xuzhou,,2019年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201900000267,2019,2019,2019,Nantong智造科技有限公司,2,JiangsuNantong高新区,CN,Jiangsu,Nantong,,2019年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201900000268,2019,2019,2019,Yangzhou智造科技有限公司,2,JiangsuYangzhou高新区,CN,Jiangsu,Yangzhou,,2019年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201900000269,2019,2019,2019,Zhenjiang智造科技有限公司,2,JiangsuZhenjiang高新区,CN,Jiangsu,Zhenjiang,,2019年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201900000270,2019,2019,2019,Huzhou智造科技有限公司,2,ZhejiangHuzhou高新区,CN,Zhejiang,Huzhou,,2019年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201900000271,2019,2019,2019,Jinhua智造科技有限公司,2,ZhejiangJinhua高新区,CN,Zhejiang,Jinhua,,2019年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201900000272,2019,2019,2019,Taizhou智造科技有限公司,2,ZhejiangTaizhou高新区,CN,Zhejiang,Taizhou,,2019年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201900000273,2019,2019,2019,Quanzhou智造科技有限公司,2,FujianQuanzhou高新区,CN,Fujian,Quanzhou,,2019年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201900000274,2019,2019,2019,Zhongshan智造科技有限公司,2,GuangdongZhongshan高新区,CN,Guangdong,Zhongshan,,2019年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201900000275,2019,2019,2019,Huizhou智造科技有限公司,2,GuangdongHuizhou高新区,CN,Guangdong,Huizhou,,2019年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201900000276,2019,2019,2019,Jiangmen智造科技有限公司,2,GuangdongJiangmen高新区,CN,Guangdong,Jiangmen,,2019年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201900000277,2019,2019,2019,Zhaoqing智造科技有限公司,2,GuangdongZhaoqing高新区,CN,Guangdong,Zhaoqing,,2019年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201900000278,2019,2019,2019,Maanshan智造科技有限公司,2,AnhuiMaanshan高新区,CN,Anhui,Maanshan,,2019年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201900000279,2019,2019,2019,Wuhu智造科技有限公司,2,AnhuiWuhu高新区,CN,Anhui,Wuhu,,2019年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201900000280,2019,2019,2019,Bengbu智造科技有限公司,2,AnhuiBengbu高新区,CN,Anhui,Bengbu,,2019年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN202000000281,2020,2020,2020,Beijing智造科技有限公司,2,BeijingBeijing高新区,CN,Beijing,Beijing,,2020年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN202000000282,2020,2020,2020,Shanghai智造科技有限公司,2,ShanghaiShanghai高新区,CN,Shanghai,Shanghai,,2020年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN202000000283,2020,2020,2020,Shenzhen智造科技有限公司,2,GuangdongShenzhen高新区,CN,Guangdong,Shenzhen,,2020年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN202000000284,2020,2020,2020,Hangzhou智造科技有限公司,2,ZhejiangHangzhou高新区,CN,Zhejiang,Hangzhou,,2020年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN202000000285,2020,2020,2020,Suzhou智造科技有限公司,2,JiangsuSuzhou高新区,CN,Jiangsu,Suzhou,,2020年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN202000000286,2020,2020,2020,Nanjing智造科技有限公司,2,JiangsuNanjing高新区,CN,Jiangsu,Nanjing,,2020年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN202000000287,2020,2020,2020,Wuhan智造科技有限公司,2,HubeiWuhan高新区,CN,Hubei,Wuhan,,2020年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN202000000288,2020,2020,2020,Chengdu智造科技有限公司,2,SichuanChengdu高新区,CN,Sichuan,Chengdu,,2020年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN202000000289,2020,2020,2020,Chongqing智造科技有限公司,2,ChongqingChongqing高新区,CN,Chongqing,Chongqing,,2020年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN202000000290,2020,2020,2020,Xi'an智造科技有限公司,2,ShaanxiXi'an高新区,CN,Shaanxi,Xi'an,,2020年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN202000000291,2020,2020,2020,Hefei智造科技有限公司,2,AnhuiHefei高新区,CN,Anhui,Hefei,,2020年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN202000000292,2020,2020,2020,Jinan智造科技有限公司,2,ShandongJinan高新区,CN,Shandong,Jinan,,2020年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN202000000293,2020,2020,2020,Qingdao智造科技有限公司,2,ShandongQingdao高新区,CN,Shandong,Qingdao,,2020年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN202000000294,2020,2020,2020,Ningbo智造科技有限公司,2,ZhejiangNingbo高新区,CN,Zhejiang,Ningbo,,2020年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN202000000295,2020,2020,2020,Wuxi智造科技有限公司,2,JiangsuWuxi高新区,CN,Jiangsu,Wuxi,,2020年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN202000000296,2020,2020,2020,Changsha智造科技有限公司,2,HunanChangsha高新区,CN,Hunan,Changsha,,2020年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN202000000297,2020,2020,2020,Zhengzhou智造科技有限公司,2,HenanZhengzhou高新区,CN,Henan,Zhengzhou,,2020年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN202000000298,2020,2020,2020,Fuzhou智造科技有限公司,2,FujianFuzhou高新区,CN,Fujian,Fuzhou,,2020年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN202000000299,2020,2020,2020,Xiamen智造科技有限公司,2,FujianXiamen高新区,CN,Fujian,Xiamen,,2020年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN202000000300,2020,2020,2020,Kunming智造科技有限公司,2,YunnanKunming高新区,CN,Yunnan,Kunming,,2020年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN202000000301,2020,2020,2020,Guiyang智造科技有限公司,2,GuizhouGuiyang高新区,CN,Guizhou,Guiyang,,2020年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN202000000302,2020,2020,2020,Nanchang智造科技有限公司,2,JiangxiNanchang高新区,CN,Jiangxi,Nanchang,,2020年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN202000000303,2020,2020,2020,Shijiazhuang智造科技有限公司,2,HebeiShijiazhuang高新区,CN,Hebei,Shijiazhuang,,2020年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN202000000304,2020,2020,2020,Taiyuan智造科技有限公司,2,ShanxiTaiyuan高新区,CN,Shanxi,Taiyuan,,2020年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN202000000305,2020,2020,2020,Hohhot智造科技有限公司,2,Inner MongoliaHohhot高新区,CN,Inner Mongolia,Hohhot,,2020年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN202000000306,2020,2020,2020,Harbin智造科技有限公司,2,HeilongjiangHarbin高新区,CN,Heilongjiang,Harbin,,2020年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN202000000307,2020,2020,2020,Changchun智造科技有限公司,2,JilinChangchun高新区,CN,Jilin,Changchun,,2020年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN202000000308,2020,2020,2020,Dalian智造科技有限公司,2,LiaoningDalian高新区,CN,Liaoning,Dalian,,2020年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN202000000309,2020,2020,2020,Shenyang智造科技有限公司,2,LiaoningShenyang高新区,CN,Liaoning,Shenyang,,2020年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN202000000310,2020,2020,2020,Tianjin智造科技有限公司,2,TianjinTianjin高新区,CN,Tianjin,Tianjin,,2020年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN202000000311,2020,2020,2020,Guangzhou智造科技有限公司,2,GuangdongGuangzhou高新区,CN,Guangdong,Guangzhou,,2020年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN202000000312,2020,2020,2020,Dongguan智造科技有限公司,2,GuangdongDongguan高新区,CN,Guangdong,Dongguan,,2020年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN202000000313,2020,2020,2020,Foshan智造科技有限公司,2,GuangdongFoshan高新区,CN,Guangdong,Foshan,,2020年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN202000000314,2020,2020,2020,Zhuhai智造科技有限公司,2,GuangdongZhuhai高新区,CN,Guangdong,Zhuhai,,2020年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN202000000315,2020,2020,2020,Wenzhou智造科技有限公司,2,ZhejiangWenzhou高新区,CN,Zhejiang,Wenzhou,,2020年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN202000000316,2020,2020,2020,Jiaxing智造科技有限公司,2,ZhejiangJiaxing高新区,CN,Zhejiang,Jiaxing,,2020年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN202000000317,2020,2020,2020,Shaoxing智造科技有限公司,2,ZhejiangShaoxing高新区,CN,Zhejiang,Shaoxing,,2020年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN202000000318,2020,2020,2020,Yantai智造科技有限公司,2,ShandongYantai高新区,CN,Shandong,Yantai,,2020年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN202000000319,2020,2020,2020,Weifang智造科技有限公司,2,ShandongWeifang高新区,CN,Shandong,Weifang,,2020年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN202000000320,2020,2020,2020,Zibo智造科技有限公司,2,ShandongZibo高新区,CN,Shandong,Zibo,,2020年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN202000000321,2020,2020,2020,Luoyang智造科技有限公司,2,HenanLuoyang高新区,CN,Henan,Luoyang,,2020年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN202000000322,2020,2020,2020,Xuzhou智造科技有限公司,2,JiangsuXuzhou高新区,CN,Jiangsu,Xuzhou,,2020年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN202000000323,2020,2020,2020,Nantong智造科技有限公司,2,JiangsuNantong高新区,CN,Jiangsu,Nantong,,2020年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN202000000324,2020,2020,2020,Yangzhou智造科技有限公司,2,JiangsuYangzhou高新区,CN,Jiangsu,Yangzhou,,2020年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN202000000325,2020,2020,2020,Zhenjiang智造科技有限公司,2,JiangsuZhenjiang高新区,CN,Jiangsu,Zhenjiang,,2020年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN202000000326,2020,2020,2020,Huzhou智造科技有限公司,2,ZhejiangHuzhou高新区,CN,Zhejiang,Huzhou,,2020年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN202000000327,2020,2020,2020,Jinhua智造科技有限公司,2,ZhejiangJinhua高新区,CN,Zhejiang,Jinhua,,2020年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN202000000328,2020,2020,2020,Taizhou智造科技有限公司,2,ZhejiangTaizhou高新区,CN,Zhejiang,Taizhou,,2020年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN202000000329,2020,2020,2020,Quanzhou智造科技有限公司,2,FujianQuanzhou高新区,CN,Fujian,Quanzhou,,2020年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN202000000330,2020,2020,2020,Zhongshan智造科技有限公司,2,GuangdongZhongshan高新区,CN,Guangdong,Zhongshan,,2020年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN202000000331,2020,2020,2020,Huizhou智造科技有限公司,2,GuangdongHuizhou高新区,CN,Guangdong,Huizhou,,2020年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN202000000332,2020,2020,2020,Jiangmen智造科技有限公司,2,GuangdongJiangmen高新区,CN,Guangdong,Jiangmen,,2020年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN202000000333,2020,2020,2020,Zhaoqing智造科技有限公司,2,GuangdongZhaoqing高新区,CN,Guangdong,Zhaoqing,,2020年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN202000000334,2020,2020,2020,Maanshan智造科技有限公司,2,AnhuiMaanshan高新区,CN,Anhui,Maanshan,,2020年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN202000000335,2020,2020,2020,Wuhu智造科技有限公司,2,AnhuiWuhu高新区,CN,Anhui,Wuhu,,2020年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN202000000336,2020,2020,2020,Bengbu智造科技有限公司,2,AnhuiBengbu高新区,CN,Anhui,Bengbu,,2020年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN202100000337,2021,2021,2021,Beijing智造科技有限公司,2,BeijingBeijing高新区,CN,Beijing,Beijing,,2021年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN202100000338,2021,2021,2021,Shanghai智造科技有限公司,2,ShanghaiShanghai高新区,CN,Shanghai,Shanghai,,2021年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
